,breed,description,temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category,description_length,temperament_length,text_combined
10,american_leopard_hound,american leopard hound medium large size dog come three pattern solid leopard brindle nine different official color variety marking however sixty percent american leopard solid colored dog breed versatile hunting variety game specie including limited raccoon bear bobcat cougar squirrel tree minded game especially tough breed also fare exceptionally well extreme weather hot cold american leopard officially organized named american leopard cur changed breed club member american leopard hound may year coming american kennel club breed contactname jackie carpenteremail plott_dog yahoo com intelligence one american leopard hound best attribute breed loving affectionate toward family extremely protective child american leopard one oldest tree dog breed u extremely strong tracking ability often able track prey mile,sociable energetic intelligent,,53.34,68.58,20.41165665,31.751465900000003,12.0,15.0,foundation_stock_service,0.4,weekly_brushing,0.6,seasonal,0.8,energetic,1.0,eager_to_please,0.6,alert/responsive,179,3,american leopard hound medium large size dog come three pattern solid leopard brindle nine different official color variety marking however sixty percent american leopard solid colored dog breed versatile hunting variety game specie including limited raccoon bear bobcat cougar squirrel tree minded game especially tough breed also fare exceptionally well extreme weather hot cold american leopard officially organized named american leopard cur changed breed club member american leopard hound may year coming american kennel club breed contactname jackie carpenteremail plott_dog yahoo com intelligence one american leopard hound best attribute breed loving affectionate toward family extremely protective child american leopard one oldest tree dog breed u extremely strong tracking ability often able track prey mile sociable energetic intelligent foundation_stock_service american_leopard_hound weekly_brushing seasonal energetic eager_to_please alert/responsive
11,american_staffordshire_terrier,amstaffs stocky muscular bull type terrier standing inch shoulder head broad jaw well defined cheekbone pronounced dark round eye set wide apart amstaff movement agile graceful springy gait advertises breed innate confidence stiff glossy coat come many color pattern amstaffers describe dog keenly aware surroundings game anything lovable personality dog around house amstaffs like mental physical challenge highly trainable many foray showbiz suggest acquiring amstaff one way go homework find responsible akc breeder american staffordshire terrier known fan amstaffs smart confident good natured companion courage proverbial responsibly bred well socialized amstaff loyal trustworthy friend end,confident smart good natured,85,43.18,48.26,18.1436948,31.751465900000003,12.0,16.0,terrier_group,0.2,occasional_bath/brush,0.4,occasional,0.6,regular_exercise,0.6,agreeable,0.6,alert/responsive,148,3,amstaffs stocky muscular bull type terrier standing inch shoulder head broad jaw well defined cheekbone pronounced dark round eye set wide apart amstaff movement agile graceful springy gait advertises breed innate confidence stiff glossy coat come many color pattern amstaffers describe dog keenly aware surroundings game anything lovable personality dog around house amstaffs like mental physical challenge highly trainable many foray showbiz suggest acquiring amstaff one way go homework find responsible akc breeder american staffordshire terrier known fan amstaffs smart confident good natured companion courage proverbial responsibly bred well socialized amstaff loyal trustworthy friend end confident smart good natured terrier_group american_staffordshire_terrier occasional_bath/brush occasional regular_exercise agreeable alert/responsive
12,american_water_spaniel,american water spaniel muscular midsize gundogs flashy look performance recognizable luscious brown coat either tightly curled wavy bred work icy water marshy bank great lake region spaniel ideally outfitted job coat dense waterproof foot thickly padded toe webbed body small enough dog hop skiff without rocking boat breed admirer describe merry intelligent versatile spaniel suited variety dog sport hunter combine working trait spaniel retriever key american water spaniel happiness activity especially alongside adored human underemployed dog barky destructive american water spaniel native lake country upper midwest upbeat outdoorsy athlete love hunt swim known happy eager charming though aloof stranger bit stubborn,eager happy charming,166,38.1,45.72,11.33980925,20.41165665,10.0,14.0,sporting_group,0.6,2-3_times_a_week_brushing,0.2,infrequent,0.6,regular_exercise,1.0,eager_to_please,0.8,friendly,177,3,american water spaniel muscular midsize gundogs flashy look performance recognizable luscious brown coat either tightly curled wavy bred work icy water marshy bank great lake region spaniel ideally outfitted job coat dense waterproof foot thickly padded toe webbed body small enough dog hop skiff without rocking boat breed admirer describe merry intelligent versatile spaniel suited variety dog sport hunter combine working trait spaniel retriever key american water spaniel happiness activity especially alongside adored human underemployed dog barky destructive american water spaniel native lake country upper midwest upbeat outdoorsy athlete love hunt swim known happy eager charming though aloof stranger bit stubborn eager happy charming sporting_group american_water_spaniel 2-3_times_a_week_brushing infrequent regular_exercise eager_to_please friendly
13,anatolian_shepherd_dog,anatolian shepherd dog stand inch shoulder weigh much pound profusely muscled nimble afoot anatolian match predator harsh terrain homeland anatolian descend oldest known domestic canine bloodline lends breed sense timelessness frill untouched quality take u back year bronze age anatolian smart devoted responsive adaptable protect flock livestock child smaller dog even family cat intensity anatolian owner must strong leader willing able handle dog dominating demanding calm loving anatolian shepherd dog rugged imposing flock guardian ancient lineage protective territorial also intelligent patient profoundly loyal muscular avenger prized working guard dog without equal,loyal independent reserved,90,68.58,73.66,36.2873896,68.0388555,11.0,13.0,working_group,0.4,weekly_brushing,0.6,seasonal,0.6,regular_exercise,0.4,independent,0.4,reserved_with_strangers,149,3,anatolian shepherd dog stand inch shoulder weigh much pound profusely muscled nimble afoot anatolian match predator harsh terrain homeland anatolian descend oldest known domestic canine bloodline lends breed sense timelessness frill untouched quality take u back year bronze age anatolian smart devoted responsive adaptable protect flock livestock child smaller dog even family cat intensity anatolian owner must strong leader willing able handle dog dominating demanding calm loving anatolian shepherd dog rugged imposing flock guardian ancient lineage protective territorial also intelligent patient profoundly loyal muscular avenger prized working guard dog without equal loyal independent reserved working_group anatolian_shepherd_dog weekly_brushing seasonal regular_exercise independent reserved_with_strangers
14,appenzeller_sennenhund,appenzeller sennenhund also known appenzeller mountain dog appenzell cattle dog lively high spirited self assured reliable fearless slightly suspicious stranger good watchdog bribed breed intelligence make highly capable learner due personality exercise need ill suited apartment living appenzeller sennenhund tri color medium sized almost squarely built balanced muscular agile make good driving watch guard house farm dog due versatility willingness excel agility obedience herding search rescue,agile versatile lively,,48.26,55.88,21.77243376,31.751465900000003,12.0,15.0,foundation_stock_service,0.4,weekly_brushing,0.8,regularly,1.0,needs_lots_of_activity,0.2,may_be_stubborn,0.4,reserved_with_strangers,101,3,appenzeller sennenhund also known appenzeller mountain dog appenzell cattle dog lively high spirited self assured reliable fearless slightly suspicious stranger good watchdog bribed breed intelligence make highly capable learner due personality exercise need ill suited apartment living appenzeller sennenhund tri color medium sized almost squarely built balanced muscular agile make good driving watch guard house farm dog due versatility willingness excel agility obedience herding search rescue agile versatile lively foundation_stock_service appenzeller_sennenhund weekly_brushing regularly needs_lots_of_activity may_be_stubborn reserved_with_strangers
15,australian_cattle_dog,standing inch shoulder australian cattle dog sturdy hard muscled herder strength agility acd born white coat turn blue gray red coat variety feature distinctive mottling specking pattern acds immense work drive excel hunting chasing course moving livestock boundless energy supple gait make excellent running partner acds true blue loyal famously smart ever alert wary stranger acd challenged easily becomes bored get mischief recommended acd owner participate dog work sport regular exercise keep mentally physically fit compact muscular australian cattle dog also called blue heeler queensland heeler related australia famous wild dog dingo resilient herder intelligent enough routinely outsmart owner,alert curious pleasant,55,43.18,50.8,15.875732950000002,22.6796185,12.0,16.0,herding_group,0.2,occasional_bath/brush,0.8,regularly,1.0,needs_lots_of_activity,0.2,may_be_stubborn,0.4,reserved_with_strangers,152,3,standing inch shoulder australian cattle dog sturdy hard muscled herder strength agility acd born white coat turn blue gray red coat variety feature distinctive mottling specking pattern acds immense work drive excel hunting chasing course moving livestock boundless energy supple gait make excellent running partner acds true blue loyal famously smart ever alert wary stranger acd challenged easily becomes bored get mischief recommended acd owner participate dog work sport regular exercise keep mentally physically fit compact muscular australian cattle dog also called blue heeler queensland heeler related australia famous wild dog dingo resilient herder intelligent enough routinely outsmart owner alert curious pleasant herding_group australian_cattle_dog occasional_bath/brush regularly needs_lots_of_activity may_be_stubborn reserved_with_strangers
16,australian_kelpie,herding dog australian kelpie intensely loyal devoted duty natural instinct aptitude working sheep whether open field enclosed yard breed originated collie type dog imported scotland developed withstand harsh heat dry condition vast open space australia australian kelpie lithe active dog capable untiring work extremely intelligent alert eager unlimited energy,loyal alert intelligent,,43.18,50.8,15.875732950000002,24.947580350000003,10.0,13.0,foundation_stock_service,0.4,weekly_brushing,0.8,regularly,0.8,energetic,1.0,eager_to_please,0.6,alert/responsive,84,3,herding dog australian kelpie intensely loyal devoted duty natural instinct aptitude working sheep whether open field enclosed yard breed originated collie type dog imported scotland developed withstand harsh heat dry condition vast open space australia australian kelpie lithe active dog capable untiring work extremely intelligent alert eager unlimited energy loyal alert intelligent foundation_stock_service australian_kelpie weekly_brushing regularly energetic eager_to_please alert/responsive
17,australian_shepherd,australian shepherd cowboy herding dog choice medium sized worker keen penetrating gaze eye aussie coat offer different look including merle mottled pattern contrasting shade blue red way picture rugged agile mover stock aussie exhibit irresistible impulse herd anything bird dog kid strong work drive make aussie much dog sedentary pet owner aussie remarkably intelligent quite capable hoodwinking unsuspecting novice owner short pet everyone looking brainy tireless trainable partner work sport search might end australian shepherd lean tough ranch dog one america story european breed perfected california way australia fixture rodeo circuit closely associated cowboy life,smart work oriented exuberant,17,45.72,58.42,18.1436948,29.48350405,12.0,15.0,herding_group,0.4,weekly_brushing,0.6,seasonal,0.8,energetic,1.0,eager_to_please,0.6,alert/responsive,156,3,australian shepherd cowboy herding dog choice medium sized worker keen penetrating gaze eye aussie coat offer different look including merle mottled pattern contrasting shade blue red way picture rugged agile mover stock aussie exhibit irresistible impulse herd anything bird dog kid strong work drive make aussie much dog sedentary pet owner aussie remarkably intelligent quite capable hoodwinking unsuspecting novice owner short pet everyone looking brainy tireless trainable partner work sport search might end australian shepherd lean tough ranch dog one america story european breed perfected california way australia fixture rodeo circuit closely associated cowboy life smart work oriented exuberant herding_group australian_shepherd weekly_brushing seasonal energetic eager_to_please alert/responsive
18,australian_stumpy_tail_cattle_dog,australian stumpy tail cattle dog australian cattle dog docked tail major structural difference breed type two breed cattle dog stumpy tail cattle dog natural bob tail breed stumpy tail pup born long tail discarded breeding program structural quality rather bred back quality natural bob tail australian stumpy tail cattle dog society united statesdenyse adam chredacds gmail comlori graham lgraham yahoo comkim mcdonald breezyacresstumpies gmail comkevin nicholson nicholson klnicholson gmail com australian stumpy tail cattle dog australian cattle dog docked tail naturally bob tailed breed stand square plenty leg length body,alert trainable comical,,43.18,50.8,14.51495584,20.41165665,12.0,15.0,foundation_stock_service,0.4,weekly_brushing,0.4,occasional,0.8,energetic,0.8,easy_training,0.6,alert/responsive,124,3,australian stumpy tail cattle dog australian cattle dog docked tail major structural difference breed type two breed cattle dog stumpy tail cattle dog natural bob tail breed stumpy tail pup born long tail discarded breeding program structural quality rather bred back quality natural bob tail australian stumpy tail cattle dog society united statesdenyse adam chredacds gmail comlori graham lgraham yahoo comkim mcdonald breezyacresstumpies gmail comkevin nicholson nicholson klnicholson gmail com australian stumpy tail cattle dog australian cattle dog docked tail naturally bob tailed breed stand square plenty leg length body alert trainable comical foundation_stock_service australian_stumpy_tail_cattle_dog weekly_brushing occasional energetic easy_training alert/responsive
19,australian_terrier,australian terrier small sturdy self confident terrier known longish torso distinctive coat furnishing around neck forequarter topknot soft silky hair contrast texture otherwise harsh coat long neck lends dash elegance rough ready terrier dark eye sparkle keen intelligence coat color blue tan solid red sandy aussie move free easy gait working dog alert watchdog said quick study training true terrier aussie love digging urge chase small furry critter never left always great fit multi dog household aussie want diminutive australian terrier plucky spirited smart fit much dog bitty package upbeat lively self assured aussie approach life plenty old time terrier curiosity grit,affectionate courageous spirited,140,25.4,27.94,6.80388555,9.0718474,11.0,15.0,terrier_group,0.4,weekly_brushing,0.2,infrequent,0.8,energetic,0.6,agreeable,0.8,friendly,159,3,australian terrier small sturdy self confident terrier known longish torso distinctive coat furnishing around neck forequarter topknot soft silky hair contrast texture otherwise harsh coat long neck lends dash elegance rough ready terrier dark eye sparkle keen intelligence coat color blue tan solid red sandy aussie move free easy gait working dog alert watchdog said quick study training true terrier aussie love digging urge chase small furry critter never left always great fit multi dog household aussie want diminutive australian terrier plucky spirited smart fit much dog bitty package upbeat lively self assured aussie approach life plenty old time terrier curiosity grit affectionate courageous spirited terrier_group australian_terrier weekly_brushing infrequent energetic agreeable friendly
20,azawakh,ancient hunting hound lean rangy bone structure musculature plainly seen beneath skin smooth shaped contour deep chest aerodynamic head mark azwakh member sighthound family canine sprinter rely keen vision blazing speed fix course prey ultrafine coat come several color pattern overall look leggy hound one elegance fineness fooled tough durable hunter chasing gazelle across scorching sand sahara thousand year tall elegant azawakh west african sighthound originates country burkina faso mali niger azawakh short fine coat may come color color combination red clear sand fawn brindled parti color may predominantly white blue black brown head may black mask may white marking leg bib tip tail color marking disqualification breed befitting heritage azawakh excels companion guardian lure courser united state,loyal independent deeply affectionate,of,59.69,73.66,14.968548210000002,24.947580350000003,12.0,15.0,hound_group,0.4,weekly_brushing,0.4,occasional,0.6,regular_exercise,0.4,independent,0.8,friendly,210,4,ancient hunting hound lean rangy bone structure musculature plainly seen beneath skin smooth shaped contour deep chest aerodynamic head mark azwakh member sighthound family canine sprinter rely keen vision blazing speed fix course prey ultrafine coat come several color pattern overall look leggy hound one elegance fineness fooled tough durable hunter chasing gazelle across scorching sand sahara thousand year tall elegant azawakh west african sighthound originates country burkina faso mali niger azawakh short fine coat may come color color combination red clear sand fawn brindled parti color may predominantly white blue black brown head may black mask may white marking leg bib tip tail color marking disqualification breed befitting heritage azawakh excels companion guardian lure courser united state loyal independent deeply affectionate hound_group azawakh weekly_brushing occasional regular_exercise independent friendly
21,barbet,defining characteristic rustic medium sized bird dog dense curly coat cover top large broad head tip curving tail coat come shade black gray brown fawn sometimes white marking breed delightfully shaggy coat amiable nature creates impression muppet come life barbet strong solidly built dog bred century keen hunter tireless swimmer barbet intelligent learn new thing quickly calm nature easy live long exercise need met archetypic water dog france barbet rustic breed medium size balanced proportion appears artwork early th century profile barbet slightly rectangular substantial head long sweeping tail long dense covering curly hair distinctive beard agile athlete barbet used primarily locate flush retrieve bird cheerful disposition social loyal,friendly bright sweet natured,of,48.26,62.23,15.875732950000002,29.48350405,12.0,14.0,sporting_group,0.4,weekly_brushing,0.2,infrequent,0.6,regular_exercise,0.6,agreeable,0.8,friendly,194,3,defining characteristic rustic medium sized bird dog dense curly coat cover top large broad head tip curving tail coat come shade black gray brown fawn sometimes white marking breed delightfully shaggy coat amiable nature creates impression muppet come life barbet strong solidly built dog bred century keen hunter tireless swimmer barbet intelligent learn new thing quickly calm nature easy live long exercise need met archetypic water dog france barbet rustic breed medium size balanced proportion appears artwork early th century profile barbet slightly rectangular substantial head long sweeping tail long dense covering curly hair distinctive beard agile athlete barbet used primarily locate flush retrieve bird cheerful disposition social loyal friendly bright sweet natured sporting_group barbet weekly_brushing infrequent regular_exercise agreeable friendly
